rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
25195,8861,__pr_graph_lp_or_to_or_and__: 67159:item: active-carbon --> energy-source-burner: jerry__chemical__biomass_2_1,,,True,item: active-carbon --> energy-source-burner: jerry__chemical__biomass_2_1,False,False,-2.932308847500519e-36,2.4919833387771526e-36
25196,6363,__pr_graph_lp_or_to_or_and__: 24049:item-craft: yotoi-aloe-orchard-mk03 --> item: yotoi-aloe-orchard-mk03,,,True,item-craft: yotoi-aloe-orchard-mk03 --> item: yotoi-aloe-orchard-mk03,False,False,2.9320822061045919e-36,2.4917907306270907e-36
25197,4461,__pr_graph_lp_or_to_or_and__: 12912:fluid-create-temperature: tin-solution: 10 --> fluid-create: tin-solution,,,True,fluid-create-temperature: tin-solution: 10 --> fluid-create: tin-solution,False,False,-2.9305985725477126e-36,2.4905298845508854e-36
25198,5570,__pr_graph_lp_or_to_or_and__: 19142:item-craft: fuelrod-mk01 --> item: fuelrod-mk01,,,True,item-craft: fuelrod-mk01 --> item: fuelrod-mk01,False,False,-2.9297409783231851e-36,2.4898010696033138e-36
25199,322,__pr_graph_lp_or_cost_row__: entity: fwf-mk03,,,True,node-cost:entity: fwf-mk03,False,False,2.9287848723926496e-36,2.4889885358038706e-36
25200,6667,__pr_graph_lp_or_to_or_and__: 26573:item-craft: bone-caged-phadai --> item: bone-caged-phadai,,,True,item-craft: bone-caged-phadai --> item: bone-caged-phadai,False,False,2.9271194830204817e-36,2.487573226986194e-36
25201,9480,__pr_graph_lp_or_to_or_and__: 69669:entity-build: biofactory-mk01 --> entity: biofactory-mk01:noncoproduct-route,,,True,entity-build: biofactory-mk01 --> entity: biofactory-mk01,False,False,-2.9260486963926363e-36,2.486663233334519e-36
25202,16640,__pr_graph_lp_or_to_or_and__: 8472:item: mukmoux --> entity-operate-py-module: mukmoux-pasture-mk01,,,True,item: mukmoux --> entity-operate-py-module: mukmoux-pasture-mk01,False,False,-2.9252915945125215e-36,2.4860198204577986e-36
25203,5258,__pr_graph_lp_or_to_or_and__: 14794:item: coke --> fuel-category: chemical__1,,,True,item: coke --> fuel-category: chemical__1,False,False,2.924925083429857e-36,2.4857083459307358e-36
25204,10012,__pr_graph_lp_or_to_or_and__: 70673:fluid-temperature: tar: 10 --> fluid-temperature-range: tar: 10: 10:noncoproduct-route,,,True,fluid-temperature: tar: 10 --> fluid-temperature-range: tar: 10: 10,False,False,-2.9245888747986404e-36,2.4854226235355456e-36
25205,3976,__pr_graph_lp_or_to_or_and__: 11804:fluid-craft-temperature: vpulp3: 10 --> fluid-craft-temperature: vpulp3,,,True,fluid-craft-temperature: vpulp3: 10 --> fluid-craft-temperature: vpulp3,False,False,2.9244895788138073e-36,2.4853382381748351e-36
25206,3366,__pr_graph_lp_or_cost_row__: item: tritium-barrel,,,True,node-cost:item: tritium-barrel,False,False,2.9230783283006937e-36,2.484138905857396e-36
25207,1209,__pr_graph_lp_or_cost_row__: item: cadaveric-arum-mk01,,,True,node-cost:item: cadaveric-arum-mk01,False,False,-2.9226055356864641e-36,2.4837371093964396e-36
25208,16482,__pr_graph_lp_or_to_or_and__: 8144:item: lor-mk02 --> entity-build-item: lor-mk02,,,True,item: lor-mk02 --> entity-build-item: lor-mk02,False,False,2.9225454737823292e-36,2.4836860665929069e-36
25209,22317,item-deliver: rotor-mk02,item-deliver,rotor-mk02,False,,False,False,-2.9223748652641055e-36,2.4835410772323118e-36
25210,2365,__pr_graph_lp_or_cost_row__: item: mukmoux-mk04,,,True,node-cost:item: mukmoux-mk04,False,False,-2.9218110974567962e-36,2.4830619667238976e-36
