rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
698,5941,recipe: bee-venom-barrel,recipe,bee-venom-barrel,False,,True,True,-5.9841373580624707e-26,5.9841373460941934e-26
699,7270,recipe: nickel-plate-3,recipe,nickel-plate-3,False,,True,True,5.9206483821115667e-26,5.920648370270268e-26
700,1488,__pr_graph_lp_or_to_or_and__: 15321:item: fine-powdered-biomass --> energy-source-burner: biomass_2_1,,,True,item: fine-powdered-biomass --> energy-source-burner: biomass_2_1,False,False,5.9193326801687939e-26,5.9193326683301263e-26
701,7122,recipe: melamine-resin,recipe,melamine-resin,False,,True,True,5.8164111237847984e-26,5.8164111121519743e-26
702,6925,recipe: he-01,recipe,he-01,False,,True,True,5.713115289818677e-26,5.7131152783924437e-26
703,7164,recipe: molten-copper-barrel,recipe,molten-copper-barrel,False,,True,True,5.6520786933678466e-26,5.6520786820636868e-26
704,6950,recipe: hotair-copper-plate-1,recipe,hotair-copper-plate-1,False,,True,True,-5.5992930520109537e-26,5.5992930408123657e-26
705,6763,recipe: flue-gas-2,recipe,flue-gas-2,False,,True,True,-5.5931190422274668e-26,5.5931190310412261e-26
706,6355,recipe: digosaurus,recipe,digosaurus,False,,True,True,5.5635164298218427e-26,5.5635164186948072e-26
707,6956,recipe: hotair-lead-plate-3,recipe,hotair-lead-plate-3,False,,True,True,-5.5261869138350603e-26,5.5261869027826848e-26
708,6787,recipe: formaldehyde-from-refined-natural-gas,recipe,formaldehyde-from-refined-natural-gas,False,,True,True,5.5237147370704097e-26,5.5237147260229783e-26
709,7539,recipe: pyphoon-bay,recipe,pyphoon-bay,False,,True,True,-5.4148278481051676e-26,5.4148278372755103e-26
710,7847,recipe: syngas2,recipe,syngas2,False,,True,True,5.4072089112707122e-26,5.4072089004562927e-26
711,7421,recipe: pressured-air-barrel,recipe,pressured-air-barrel,False,,True,True,-5.4003387365482141e-26,5.4003387257475344e-26
712,7870,recipe: tar-talloil,recipe,tar-talloil,False,,True,True,5.3981504608970307e-26,5.3981504501007281e-26
713,6087,recipe: black-liquor,recipe,black-liquor,False,,True,True,5.357411894706504e-26,5.3574118839916779e-26
714,7171,recipe: molten-iron-barrel,recipe,molten-iron-barrel,False,,True,True,5.3436844686784664e-26,5.3436844579910956e-26
715,7133,recipe: methanol-barrel,recipe,methanol-barrel,False,,True,True,-5.2743729349748049e-26,5.2743729244260575e-26
716,6253,recipe: cobalt-extract,recipe,cobalt-extract,False,,True,True,5.2437770806753843e-26,5.2437770701878281e-26
717,6742,recipe: fish-oil-barrel,recipe,fish-oil-barrel,False,,True,True,5.2262057141180004e-26,5.2262057036655873e-26
718,7582,recipe: raw-gas-barrel,recipe,raw-gas-barrel,False,,True,True,5.1410255654211895e-26,5.1410255551391364e-26
719,6243,recipe: coalbed-gas-to-coalgas,recipe,coalbed-gas-to-coalgas,False,,True,True,-5.1378224918965941e-26,5.1378224816209471e-26
720,1477,__pr_graph_lp_or_to_or_and__: 15310:item: coarse-coal --> energy-source-burner: chemical_2_1,,,True,item: coarse-coal --> energy-source-burner: chemical_2_1,False,False,5.0775210448516462e-26,5.0775210346966022e-26
721,7177,recipe: molten-nickel-barrel,recipe,molten-nickel-barrel,False,,True,True,5.0580051749422415e-26,5.0580051648262293e-26
722,7589,recipe: redhot-coke,recipe,redhot-coke,False,,True,True,-5.0557672741279934e-26,5.055767264016457e-26
723,7401,recipe: polybutadiene-barrel,recipe,polybutadiene-barrel,False,,True,True,5.050583395698701e-26,5.0505833855975323e-26
724,7189,recipe: molten-tin-barrel,recipe,molten-tin-barrel,False,,True,True,5.020876034526054e-26,5.0208760244843e-26
725,6962,recipe: hotair-tin-plate-3,recipe,hotair-tin-plate-3,False,,True,True,-5.0182224570218156e-26,5.0182224469853685e-26
726,7334,recipe: organic-solvent2,recipe,organic-solvent2,False,,True,True,-4.9525544828413084e-26,4.9525544729361975e-26
727,6166,recipe: carbon-dioxide-barrel,recipe,carbon-dioxide-barrel,False,,True,True,4.9487227607127044e-26,4.9487227508152572e-26
728,6943,recipe: hot-residual-mixture-barrel,recipe,hot-residual-mixture-barrel,False,,True,True,-4.8602251912565561e-26,4.8602251815361041e-26
729,6105,recipe: bone-to-bonemeal-2,recipe,bone-to-bonemeal-2,False,,True,True,4.8181235552450892e-26,4.8181235456088406e-26
730,7011,recipe: iron-slime-barrel,recipe,iron-slime-barrel,False,,True,True,-4.7929186908345287e-26,4.7929186812486896e-26
731,6221,recipe: clean-nexelit,recipe,clean-nexelit,False,,True,True,4.7032763255081271e-26,4.7032763161015728e-26
732,6781,recipe: fluorine-gas-barrel,recipe,fluorine-gas-barrel,False,,True,True,4.6267018759884202e-26,4.6267018667350148e-26
733,6753,recipe: flask-2,recipe,flask-2,False,,True,True,4.6071308251617329e-26,4.6071308159474695e-26
734,6934,recipe: high-distillate-condensing,recipe,high-distillate-condensing,False,,True,True,-4.5777672674718238e-26,4.5777672583162874e-26
735,6780,recipe: fluorine-gas,recipe,fluorine-gas,False,,True,True,-4.5738870178414228e-26,4.5738870086936471e-26
736,7598,recipe: ree-slurry,recipe,ree-slurry,False,,True,True,-4.5630704554301698e-26,4.5630704463040271e-26
737,7097,recipe: low-distillate-to-btx,recipe,low-distillate-to-btx,False,,True,True,4.4765218117224882e-26,4.4765218027694428e-26
738,6173,recipe: casein-mixture-01,recipe,casein-mixture-01,False,,True,True,4.4386744222031488e-26,4.4386744133257982e-26
739,6505,recipe: empty-honeycomb-2,recipe,empty-honeycomb-2,False,,True,True,-4.411957898247027e-26,4.4119578894231098e-26
740,7961,recipe: vanadium-pulp-3-void,recipe,vanadium-pulp-3-void,False,,True,True,-4.4070162451735626e-26,4.4070162363595286e-26
741,6571,recipe: empty-petri-dish,recipe,empty-petri-dish,False,,True,True,4.3283118408451907e-26,4.3283118321885656e-26
742,6367,recipe: dna-polymerase,recipe,dna-polymerase,False,,True,True,4.3149299829377312e-26,4.3149299743078698e-26
743,5840,recipe: ammonia-barrel,recipe,ammonia-barrel,False,,True,True,-4.2608737764240796e-26,4.2608737679023304e-26
744,7316,recipe: olefin-lube,recipe,olefin-lube,False,,True,True,4.2423610532137875e-26,4.2423610447290635e-26
745,6714,recipe: fill-refined-natural-gas-canister,recipe,fill-refined-natural-gas-canister,False,,True,True,4.2006216813248006e-26,4.2006216729235557e-26
746,7472,recipe: py-gas-powerplant-mk01,recipe,py-gas-powerplant-mk01,False,,True,True,4.2000812307431148e-26,4.2000812223429506e-26
747,6792,recipe: formic-acid-barrel,recipe,formic-acid-barrel,False,,True,True,4.1940913071753869e-26,4.1940912987872027e-26
748,7032,recipe: korlex,recipe,korlex,False,,True,True,-4.1566325704008799e-26,4.1566325620876133e-26
749,6340,recipe: decalin-barrel,recipe,decalin-barrel,False,,True,True,-4.1311656386453195e-26,4.1311656303829867e-26
750,7192,recipe: molten-zinc-barrel,recipe,molten-zinc-barrel,False,,True,True,-4.0944430817972379e-26,4.09444307360835e-26
751,6333,recipe: cyanic-acid-barrel,recipe,cyanic-acid-barrel,False,,True,True,-4.0206485978235994e-26,4.0206485897823008e-26
752,6688,recipe: fill-crude-oil-canister,recipe,fill-crude-oil-canister,False,,True,True,-4.0138782781191078e-26,4.0138782700913498e-26
753,7654,recipe: rubber-from-oleochemicals,recipe,rubber-from-oleochemicals,False,,True,True,4.0094354598926274e-26,4.0094354518737551e-26
754,7335,recipe: outlet-gas-01,recipe,outlet-gas-01,False,,True,True,3.9386046335375484e-26,3.9386046256603375e-26
